L0 = ;d = ;Polymer 
 ;TEMP:;`rt
echo: External Reset
Marlin1.0.0
echo: Last Updated: Sep 10 2015 09:32:40 | Author: (none, default config)
Compiled: Sep 10 2015
echo: Free Memory: 3799  PlannerBufferBytes: 1232
echo:Hardcoded Default Settings Loaded
echo:Steps per unit:
echo:  M92 X79.94 Y81.19 Z392.16 E100.00
echo:Maximum feedrates (mm/s):
echo:  M203 X400.00 Y400.00 Z2.00 E25.00
echo:Maximum Acceleration (mm/s2):
echo:  M201 X7000 Y7000 Z100 E10000
echo:Acceleration: S=acceleration, T=retract acceleration
echo:  M204 S2000.00 T2000.00
echo:Advanced variables: S=Min feedrate (mm/s), T=Min travel feedrate (mm/s), B=minimum segment time (ms), X=maximum XY jerk (mm/s),  Z=maximum Z jerk (mm/s),  E=maximum E jerk (mm/s)
echo:  M205 S0.00 T0.00 B20000 X20.00 Z0.40 E5.00
echo:Home offset (mm):
echo:  M206 X0.00 Y0.00 Z0.00
echo:PID settings:
echo:   M301 P31.00 I0.73 D330.11
echo:SD init fail
ok T:20.0 /0.0 B:0.0 /0.0 T0:20.0 /0.0 @:0 B`
 ;TEMP:;T:20.0 /0.0 B:0.0 /0.0 T0:20.0 /0.0 @:0 B
 ;TEMP:;T:20.1 /0.0 B:0.0 /0.0 T0:20.1 /0.0 @:0 B
287398656;07:00:18;0,0;0
 ;TEMP:;T:20.0 /0.0 B:0.0 /0.0 T0:20.0 /0.0 @:0 B
64077832;07:00:18;0,0;0,0
112731688;07:00:19;0,0;0,0
50574588;07:00:19;0,0;0,0
45714328;07:00:20;0,0;0,0
174524752;07:00:20;0,0;0,0
63413352;07:00:21;218,8;0,0
151297088;07:00:21;0,0;0,0
45277440;07:00:21;0,0;0,0
66383112;07:00:22;0,0;0,0
122029064;07:00:22;0,0;0,0
67713680;07:00:23;0,0;0,0
289229664;07:00:23;0,0;0,0
43365224;07:00:24;0,0;0,0
56824800;07:00:24;0,0;0,0
199108368;07:00:25;0,0;0,0
36448824;07:00:27;0,0;0,0
161522304;07:00:27;0,0;0,0
42402700;07:00:28;0,0;0,0
8262;07:00:30;0,0;0,0
76;07:00:30;0,0;0,0
149710944;07:00:31;0,0;0,0
68084736;07:00:31;0,0;0,0
1814872;07:00:38;0,0;0,0
1556880;07:00:38;0,0;0,0
1402298;07:00:38;0,0;0,0
1282;07:00:39;0,0;0,0
7735415;07:00:52;1755,2;0,0
128397128;07:00:52;2213,4;0,0
109137736;07:00:53;2209,8;0,0
69734600;07:00:54;2206,4;0,0
292964704;07:00:55;2207,8;0,0
46222264;07:00:56;2207,2;0,0
